,uid_x,domainID_x,siteID_x,namedLocation_x,collectDate_x,identifiedDate,sampleID,sampleCode_x,referencePhotoID,referencePhotoCode,taxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,superfamily,family,subfamily,genus,specificEpithet,infraspecificEpithet,nauplii,zooMinimumLength,zooMaximumLength,zooMeanLength,zooWidth,individualCount,subsampleType,zooVolumePerBottle,zooSubsampleVolume,adjCountPerBottle,indeterminateSpecies,sampleCondition_x,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,internalLabName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF_x,publicationDate_x,release_x,uid_y,domainID_y,siteID_y,namedLocation_y,decimalLatitude,decimalLongitude,coordinateUncertainty,additionalCoordUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,startDate,collectDate_y,eventID,boutNumber,sampleCode_y,sampleCondition_y,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,affectedByWind,samplerType,sampleNumber,towsTrapsNumber,towsTrapsVolume,zooDepth1,zooDepth2,zooDepth3,remarks,recordedBy,collectedBy,dataQF_y,publicationDate_y,release_y
1881,1514cab3-f2db-487c-a92d-a0b572a8a4ed,D03,SUGG,SUGG.AOS.buoy.c0,2022-02-14T16:41Z,2022-08-10,SUGG.20220214.SCHINDLER.1,A00000173205,,,DAPSP1,Y,Daphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.4,1.0,0.667,,36,coarse,528.0,2.0,9504.0,N,condition OK,Y,,"Thorp and Rogers, 2016",N,"Rhithron Associates, Inc.",,B. Moore,,,,20231229T042808Z,PROVISIONAL,cf981868-9b6b-47ec-9ab8-5bf2e27d0668,D03,SUGG,SUGG.AOS.buoy.c0,29.688149,-82.017318,10.0,10.0,WGS84,30.0,10,lake,2022-02-14T16:41Z,2022-02-14T16:41Z,SUGG.20220214,1,A00000173205,,NEON.DOC.001194vJ,,OK - within bout window,N,Schindler-Patalas,1,3.0,36.0,0.5,1.5,1.8,,0000-0002-0425-3262,0000-0001-9076-6525,,20231229T042808Z,PROVISIONAL
1901,ccec932a-feee-4317-9cc4-31b261475b8a,D03,SUGG,SUGG.AOS.littoral1,2022-02-14T16:41Z,2022-08-09,SUGG.20220214.SCHINDLER.2,A00000173206,,,DAPSP1,Y,Daphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.6,1.0,0.8,,28,coarse,515.0,5.0,2884.0,N,condition OK,Y,,"Thorp and Rogers, 2016",N,"Rhithron Associates, Inc.",,B. Moore,,,,20231229T042808Z,PROVISIONAL,b4c3e0f0-f673-4663-bf45-343a50acec55,D03,SUGG,SUGG.AOS.littoral1,29.685093,-82.018412,1.1,10.0,WGS84,30.2,1,lake,2022-02-14T16:41Z,2022-02-14T16:41Z,SUGG.20220214,1,A00000173206,,NEON.DOC.001194vJ,,OK - within bout window,N,Schindler-Patalas,2,2.0,24.0,0.5,1.3,,,0000-0002-0425-3262,0000-0001-9076-6525,,20231229T042808Z,PROVISIONAL
1936,a412b04e-074d-4dc6-baa5-633b5b0e5398,D05,CRAM,CRAM.AOS.littoral1,2015-07-13T17:00Z,2016-09-29,CRAM.20150713.SCHINDLERPATALAS.2,,,,CERSP19,Y,Ceriodaphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.48,0.5,0.5,,1,coarse,150.0,150.0,1.0,Y,condition OK,N,,"Berner, 1986",N,GEI Consultants Inc.,Water's Edge Scientific,DLN,,,legacyData,20231226T234941Z,RELEASE-2024,c711a51e-e5b3-45b1-ac4e-e92abff2311d,D05,CRAM,CRAM.AOS.littoral1,46.207952,-89.476193,1.1,10.0,WGS84,512.5,1,lake,2015-07-13T17:00Z,2015-07-13T17:00Z,CRAM.20150713,2,,,NEON.DOC.001194vD,,,,Schindler-Patalas,2,2.0,24.0,0.5,0.6,,,jhudson@neoninc.org,radams@neoninc.org,legacyData,20231226T234941Z,RELEASE-2024
1961,8664cb09-0c69-44b1-b783-5622c2b7cda2,D05,CRAM,CRAM.AOS.buoy.c0,2015-07-13T17:00Z,2016-09-29,CRAM.20150713.TOWNET.3,,,,DAPCAT1,Y,Daphnia catawba,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.48,1.8,0.976,,27,coarse,250.0,31.0,216.0,N,condition OK,N,,"Brooks, 1957",N,GEI Consultants Inc.,Water's Edge Scientific,DLN,7 Removed for ID,,legacyData,20231226T234941Z,RELEASE-2024,97828a99-4b56-45fb-9415-d6f460d1af9e,D05,CRAM,CRAM.AOS.buoy.c0,46.210592,-89.476861,10.0,10.0,WGS84,509.0,10,lake,2015-07-13T17:00Z,2015-07-13T17:00Z,CRAM.20150713,2,,,NEON.DOC.001194vD,,,,tow net,3,1.0,1971.0,13.5,13.5,,,jhudson@neoninc.org,radams@neoninc.org,legacyData,20231226T234941Z,RELEASE-2024
1997,64444868-9646-42a9-b4a0-860724ccce3f,D05,CRAM,CRAM.AOS.littoral1,2015-09-14T17:00Z,2016-10-05,CRAM.20150914.SCHINDLERPATALAS.2,,,,DAPCAT1,Y,Daphnia catawba,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.8,0.8,0.8,,1,coarse,80.0,80.0,1.0,Y,condition OK,N,,"Brooks, 1957",N,GEI Consultants Inc.,Water's Edge Scientific,DLN,,,legacyData,20231227T000313Z,RELEASE-2024,40a52443-a2f9-43b8-b01b-6bcc1cc87c88,D05,CRAM,CRAM.AOS.littoral1,46.207952,-89.476193,1.1,10.0,WGS84,512.5,1,lake,2015-09-14T17:00Z,2015-09-14T17:00Z,CRAM.20150914,3,,,NEON.DOC.001194vD,,,,Schindler-Patalas,2,2.0,24.0,0.5,0.5,,"19.9 degrees C, 14.1 uS/cm, 8.7 mg/L, 100% DO",bcook@field-ops.org,jhudson@neoninc.org,legacyData,20231227T000313Z,RELEASE-2024
2023,db642e8d-8cec-41ed-83e9-27367bd06e87,D05,CRAM,CRAM.AOS.buoy.c0,2015-09-14T17:00Z,2016-10-05,CRAM.20150914.TOWNET.3,,,,DAPCAT1,Y,Daphnia catawba,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.84,2.0,1.152,,5,coarse,850.0,53.0,80.0,Y,condition OK,N,,"Brooks, 1957",Y,GEI Consultants Inc.,Water's Edge Scientific,DLN,2 removed for ID,,legacyData,20231227T000313Z,RELEASE-2024,59a1bdf4-1acd-4718-bbfa-b765f704e09c,D05,CRAM,CRAM.AOS.buoy.c0,46.210592,-89.476861,10.0,10.0,WGS84,509.0,10,lake,2015-09-14T17:00Z,2015-09-14T17:00Z,CRAM.20150914,3,,,NEON.DOC.001194vD,,,,tow net,3,1.0,1752.0,12.0,12.0,,,bcook@field-ops.org,jhudson@neoninc.org,legacyData,20231227T000313Z,RELEASE-2024
2032,2ee03bde-6123-4d86-a3a9-e084962bd658,D05,CRAM,CRAM.AOS.littoral2,2015-09-14T17:00Z,2016-10-05,CRAM.20150914.SCHINDLERPATALAS.1,,,,DAPCAT1,Y,Daphnia catawba,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.6,0.6,0.6,,1,coarse,100.0,100.0,1.0,Y,"damaged, affecting analysis",N,,"Brooks, 1957",N,GEI Consultants Inc.,Water's Edge Scientific,DLN,,,legacyData,20231227T000313Z,RELEASE-2024,88eb8217-3724-41c9-825b-5bccb91aabd6,D05,CRAM,CRAM.AOS.littoral2,46.211995,-89.47446,1.1,10.0,WGS84,512.5,1,lake,2015-09-14T17:00Z,2015-09-14T17:00Z,CRAM.20150914,3,,,NEON.DOC.001194vD,,,,Schindler-Patalas,1,2.0,24.0,0.5,0.5,,"19.2 degrees C. 10.9 uS/cm, 8.4 mg/L, 96% DO",bcook@field-ops.org,jhudson@neoninc.org,legacyData,20231227T000313Z,RELEASE-2024
2058,87b59cb8-8e03-4082-8762-c9f685da7be5,D05,CRAM,CRAM.AOS.buoy.c0,2016-04-29T17:00Z,2016-09-29,CRAM.20160429.TOWNET.3,,,,DAPCAT1,Y,Daphnia catawba,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.8,0.8,0.8,,1,coarse,1000.0,31.0,32.0,N,condition OK,N,,"Brooks, 1957",Y,GEI Consultants Inc.,Water's Edge Scientific,DLN,,,legacyData,20231227T015923Z,RELEASE-2024,486a363b-f825-4580-8286-c9abaab09038,D05,CRAM,CRAM.AOS.buoy.c0,46.210592,-89.476861,10.0,10.0,WGS84,509.0,10,lake,2016-04-29T17:00Z,2016-04-29T17:00Z,CRAM.20160429,1,,,NEON.DOC.001194vE,,,,tow net,3,2.0,1095.0,15.0,,,,ekrulc@field-ops.org,jhudson@neoninc.org,legacyData,20231227T015923Z,RELEASE-2024
2155,a9d4d69a-932e-4de8-82bb-016a71c18d95,D05,CRAM,CRAM.AOS.buoy.c0,2016-09-19T17:00Z,2017-03-28,CRAM.20160919.TOWNET.1,,,,DAPSP1,Y,Daphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,,0.675,0.675,0.675,,1,coarse,530.0,3.0,179.0,N,other (specified in remarks),,,Pennak 1989,Y,EcoAnalysts Inc.,,K. Schnake,subsamplePercent = 0.56 ;fragments,,legacyData,20231227T013301Z,RELEASE-2024,83309691-571a-49d2-8206-667386d73f66,D05,CRAM,CRAM.AOS.buoy.c0,46.210592,-89.476861,10.0,10.0,WGS84,509.0,10,lake,2016-09-19T17:00Z,2016-09-19T17:00Z,CRAM.20160919,3,,,NEON.DOC.001194vE,,,,tow net,3,1.0,1095.0,15.0,,,,ekrulc@field-ops.org,jhudson@neoninc.org,legacyData,20231227T013301Z,RELEASE-2024
2239,5bedb149-411f-489f-b0ac-99b2be95a5cb,D05,CRAM,CRAM.AOS.buoy.c0,2017-07-17T14:38Z,2017-12-28,CRAM.20170717.TOWNET.3,,,,DAPSP1,Y,Daphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.2,0.2,0.2,,1,coarse,800.0,1.0,1600.0,N,"damaged, affecting taxonomy",Y,,Dodson et al 2010,N,EcoAnalysts Inc.,,K. Schnake,,,,20231227T035944Z,RELEASE-2024,2f476688-bf38-49a5-ac4b-df257866b3ad,D05,CRAM,CRAM.AOS.buoy.c0,46.210592,-89.476861,10.0,10.0,WGS84,509.0,10,lake,2017-07-17T14:38Z,2017-07-17T14:38Z,CRAM.20170717,2,,,NEON.DOC.001194vE,,,,tow net,3,1.0,1022.0,14.0,,,,Ahaynes@battelleecology.org,jhudson@neoninc.org,,20231227T035944Z,RELEASE-2024
2404,72e62bed-241c-4ff6-9140-b8b63cee9dbe,D05,CRAM,CRAM.AOS.buoy.c0,2018-07-16T14:30Z,2018-11-28,CRAM.20180716.TOWNET.1,A00000007615,,,DAPSP1,Y,Daphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.95,0.95,0.95,,1,coarse,800.0,1.0,800.0,N,"damaged, affecting taxonomy",Y,,Dodson et al 2010,N,EcoAnalysts Inc.,,K. Schnake,,,,20231228T185330Z,RELEASE-2024,ebc1d328-567d-40fb-b4ec-6adfaf09210c,D05,CRAM,CRAM.AOS.buoy.c0,46.210592,-89.476861,10.0,10.0,WGS84,509.0,10,lake,2018-07-16T14:30Z,2018-07-16T14:30Z,CRAM.20180716,2,A00000007615,,NEON.DOC.001194vG,,,,tow net,1,1.0,1058.5,14.5,,,,,jbuza@battelleecology.org,,20231228T185330Z,RELEASE-2024
2534,d9da113d-ba9c-419e-93bf-db94e5d2a89a,D05,CRAM,CRAM.AOS.buoy.c1,2019-07-11T15:01Z,2019-10-27,CRAM.20190711.TOWNET.1,A00000076594,,,DAPSP1,Y,Daphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.925,0.925,0.925,,1,coarse,330.0,0.0,840.0,N,condition OK,Y,,Dodson et al 2010,Y,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,,,,20231227T173707Z,RELEASE-2024,ad1bc6f3-af43-421e-9b3f-d5b6a21a6fc6,D05,CRAM,CRAM.AOS.buoy.c1,46.210592,-89.476861,10.0,10.0,WGS84,509.0,10,lake,2019-07-11T15:01Z,2019-07-11T15:01Z,CRAM.20190711,2,A00000076594,,NEON.DOC.001194vH,,,,tow net,1,1.0,949.0,13.0,,,,0000-0001-8705-5714,0000-0003-1075-1249,,20231227T173707Z,RELEASE-2024
2748,4e97aa1c-1d80-4d0e-9da5-f129a600af46,D05,CRAM,CRAM.AOS.buoy.c1,2020-09-28T15:56Z,2020-11-29,CRAM.20200928.TOWNET.1,A00000205117,,,DAPSP1,Y,Daphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.5,0.5,0.5,,1,coarse,370.0,2.0,158.0,N,condition OK,Y,,Dodson et al 2010,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,,,,20231227T215206Z,RELEASE-2024,e982ca4e-67ee-4bf7-b704-755c67e8831d,D05,CRAM,CRAM.AOS.buoy.c1,46.210592,-89.476861,10.0,10.0,WGS84,509.0,10,lake,2020-09-28T15:56Z,2020-09-28T15:56Z,CRAM.20200928,3,A00000205117,,NEON.DOC.001194vJ,,OK - no known exceptions,N,tow net,1,1.0,1014.7,13.9,,,,0000-0001-8490-5154,0000-0003-1075-1249,,20231227T215206Z,RELEASE-2024
2912,e2172a40-861c-4054-9f88-28ce6ccc2565,D05,CRAM,CRAM.AOS.buoy.c1,2021-09-27T16:03Z,2022-06-16,CRAM.20210927.TOWNET.1,A00000208333,,,DAPSP1,Y,Daphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.5,0.5,0.5,,1,coarse,278.0,1.0,278.0,N,condition OK,Y,,"Thorp and Rogers, 2016",N,"Rhithron Associates, Inc.",,B. Moore,,,,20231228T015250Z,RELEASE-2024,c0f3b202-5ed4-49c1-9997-86a2563c8747,D05,CRAM,CRAM.AOS.buoy.c1,46.210592,-89.476861,10.0,10.0,WGS84,509.0,10,lake,2021-09-27T16:03Z,2021-09-27T16:03Z,CRAM.20210927,3,A00000208333,,NEON.DOC.001194vJ,,OK - no known exceptions,N,tow net,1,1.0,1095.0,15.0,,,,0000-0002-6609-5941,0000-0003-1075-1249,,20231228T015250Z,RELEASE-2024
2980,c39bd251-eccf-4416-9a9a-10fb3ab203f7,D05,LIRO,LIRO.AOS.littoral1,2017-04-24T14:55Z,2017-10-18,LIRO.20170424.SCHINDLER.2,,LIRO.20140424.SCHINDLER.2_DAPHNIA SP,,DAPSP1,Y,Daphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.825,0.825,0.825,,1,,29.0,1.0,27.0,N,other (specified in remarks),Y,,Dodson et al 2010,Y,EcoAnalysts Inc.,,Karen Schnake,Immature,,,20231227T064312Z,RELEASE-2024,d7fc6a88-8d9f-43ff-9a86-6efe201cc8cf,D05,LIRO,LIRO.AOS.littoral1,45.995205,-89.706502,1.1,10.0,WGS84,496.5,1,lake,2017-04-24T14:55Z,2017-04-24T14:55Z,LIRO.20170424,1,,,NEON.DOC.001194vE,,,,Schindler-Patalas,2,2.0,24.0,0.5,1.2,,,jhudson@neoninc.org,hbeeler@battelleecology.org,,20231227T064312Z,RELEASE-2024
3033,fe983b49-97b2-41d1-af7e-02c3c193af43,D05,LIRO,LIRO.AOS.buoy.c0,2017-07-19T15:34Z,2017-12-28,LIRO.20170719.TOWNET.3,,,,DAPSP1,Y,Daphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.75,0.75,0.75,,1,coarse,1000.0,2.0,500.0,N,"damaged, affecting taxonomy",Y,,Dodson et al 2010,N,EcoAnalysts Inc.,,K. Schnake,,,,20231227T074724Z,RELEASE-2024,e46dfc98-c02e-4532-9d29-a6d015b45e55,D05,LIRO,LIRO.AOS.buoy.c0,45.998322,-89.704766,10.0,10.0,WGS84,502.0,10,lake,2017-07-19T15:34Z,2017-07-19T15:34Z,LIRO.20170719,2,,,NEON.DOC.001194vE,,,,tow net,3,2.0,949.0,6.5,6.5,,,Ahaynes@battelleecology.org,jhudson@neoninc.org,,20231227T074724Z,RELEASE-2024
3066,74e7c9e6-1491-45ba-91ac-a12a30869e64,D05,LIRO,LIRO.AOS.littoral2,2017-09-06T15:09Z,2018-03-15,LIRO.20170906.SCHINDLER.1,,LIRO.20170906.SCHINDLER.1_DAPHNIA PULEX,,DAPPUL1,Y,Daphnia pulex,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.83,0.83,0.83,,1,coarse,270.0,20.0,14.0,N,condition OK,Y,,Dodson et al 2010,N,EcoAnalysts Inc.,,K. Schnake,,,,20231227T100152Z,RELEASE-2024,44a45a0f-3a16-48da-a6b8-0bfb1d5d36db,D05,LIRO,LIRO.AOS.littoral2,46.000609,-89.704078,1.1,10.0,WGS84,495.9,1,lake,2017-09-06T15:09Z,2017-09-06T15:09Z,LIRO.20170906,3,,,NEON.DOC.001194vE,,,,Schindler-Patalas,1,2.0,24.0,0.5,0.7,,,Ahaynes@battelleecology.org,hbeeler@battelleecology.org,,20231227T100152Z,RELEASE-2024
3069,27fa78fb-159e-4caa-9885-08fef19ead40,D05,LIRO,LIRO.AOS.buoy.c0,2017-09-06T15:09Z,2018-03-15,LIRO.20170906.TOWNET.3,,,,DAPPUL1,Y,Daphnia pulex,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.7,0.8,0.75,,4,coarse,330.0,1.0,2640.0,N,condition OK,Y,,Dodson et al 2010,Y,EcoAnalysts Inc.,,M. Hill,,,,20231227T100152Z,RELEASE-2024,7a0de745-ee77-4163-a9ab-cceffae1bb06,D05,LIRO,LIRO.AOS.buoy.c0,45.998322,-89.704766,10.0,10.0,WGS84,502.0,10,lake,2017-09-06T15:09Z,2017-09-06T15:09Z,LIRO.20170906,3,,,NEON.DOC.001194vE,,,,tow net,3,2.0,949.0,6.5,6.5,,,Ahaynes@battelleecology.org,hbeeler@battelleecology.org,,20231227T100152Z,RELEASE-2024
3087,23cd7bc8-bb0b-4697-bee7-2dd74ad3be90,D05,LIRO,LIRO.AOS.littoral2,2017-09-06T15:09Z,2018-03-15,LIRO.20170906.SCHINDLER.1,,,,DAPSP1,Y,Daphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,1.08,1.08,1.08,,1,coarse,270.0,20.0,14.0,N,condition OK,Y,,Dodson et al 2010,N,EcoAnalysts Inc.,,K. Schnake,,,,20231227T100152Z,RELEASE-2024,44a45a0f-3a16-48da-a6b8-0bfb1d5d36db,D05,LIRO,LIRO.AOS.littoral2,46.000609,-89.704078,1.1,10.0,WGS84,495.9,1,lake,2017-09-06T15:09Z,2017-09-06T15:09Z,LIRO.20170906,3,,,NEON.DOC.001194vE,,,,Schindler-Patalas,1,2.0,24.0,0.5,0.7,,,Ahaynes@battelleecology.org,hbeeler@battelleecology.org,,20231227T100152Z,RELEASE-2024
3088,7ca166de-f3ad-40cc-b915-d47e3375ecc4,D05,LIRO,LIRO.AOS.buoy.c0,2017-09-06T15:09Z,2018-03-15,LIRO.20170906.TOWNET.3,,,,DAPSP1,Y,Daphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,1.18,1.5,1.34,,3,coarse,330.0,1.0,1980.0,N,condition OK,Y,,Dodson et al 2010,Y,EcoAnalysts Inc.,,M. Hill,,,,20231227T100152Z,RELEASE-2024,7a0de745-ee77-4163-a9ab-cceffae1bb06,D05,LIRO,LIRO.AOS.buoy.c0,45.998322,-89.704766,10.0,10.0,WGS84,502.0,10,lake,2017-09-06T15:09Z,2017-09-06T15:09Z,LIRO.20170906,3,,,NEON.DOC.001194vE,,,,tow net,3,2.0,949.0,6.5,6.5,,,Ahaynes@battelleecology.org,hbeeler@battelleecology.org,,20231227T100152Z,RELEASE-2024
3136,a5bc6445-d2f7-499a-8fff-3ced2d73cf4d,D05,LIRO,LIRO.AOS.littoral2,2018-07-30T15:39Z,2018-11-28,LIRO.20180730.SCHINDLER.3,A00000007530,,,DAPSP1,Y,Daphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,1.05,1.08,1.06,,2,coarse,660.0,6.0,220.0,N,"damaged, affecting taxonomy",Y,,Dodson et al 2010,N,EcoAnalysts Inc.,,K. Schnake,,,,20231228T173131Z,RELEASE-2024,9cd25f70-d7d9-4591-843a-e20dfd6ab184,D05,LIRO,LIRO.AOS.littoral2,46.000609,-89.704078,1.1,10.0,WGS84,495.9,1,lake,2018-07-30T15:39Z,2018-07-30T15:39Z,LIRO.20180730,2,A00000007530,,NEON.DOC.001194vG,,,,Schindler-Patalas,3,3.0,36.0,0.5,0.9,0.9,,hbeeler@battelleecology.org,jbuza@battelleecology.org,,20231228T173131Z,RELEASE-2024
3158,de71c128-8955-4d5d-9265-017e79b0dec4,D05,LIRO,LIRO.AOS.buoy.c0,2018-07-30T15:39Z,2018-11-28,LIRO.20180730.TOWNET.1,A00000007534,,,DAPSP1,Y,Daphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.83,1.93,1.24,,9,coarse,700.0,2.0,3150.0,N,"damaged, affecting taxonomy",Y,,Dodson et al 2010,N,EcoAnalysts Inc.,,K. Schnake,,,,20231228T173131Z,RELEASE-2024,7e23b2c2-9f14-465b-b253-1eeceaa8f63e,D05,LIRO,LIRO.AOS.buoy.c0,45.998322,-89.704766,10.0,10.0,WGS84,502.0,10,lake,2018-07-30T15:39Z,2018-07-30T15:39Z,LIRO.20180730,2,A00000007534,,NEON.DOC.001194vG,,,,tow net,1,1.0,565.75,7.8,,,,hbeeler@battelleecology.org,jbuza@battelleecology.org,,20231228T173131Z,RELEASE-2024
3161,976dcbda-680f-4bcd-bd4e-17a4116319a0,D05,LIRO,LIRO.AOS.littoral1,2018-07-30T15:39Z,2018-11-28,LIRO.20180730.SCHINDLER.2,A00000007532,,,DAPSP1,Y,Daphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.68,1.25,1.03,,15,coarse,600.0,7.0,1286.0,N,"damaged, affecting taxonomy",Y,,Dodson et al 2010,N,EcoAnalysts Inc.,,K. Schnake,,,,20231228T173131Z,RELEASE-2024,13bcb980-3122-44d7-b9f7-8899edfd2751,D05,LIRO,LIRO.AOS.littoral1,45.995205,-89.706502,1.1,10.0,WGS84,496.5,1,lake,2018-07-30T15:39Z,2018-07-30T15:39Z,LIRO.20180730,2,A00000007532,,NEON.DOC.001194vG,,,,Schindler-Patalas,2,3.0,36.0,0.5,0.8,0.8,,hbeeler@battelleecology.org,jbuza@battelleecology.org,,20231228T173131Z,RELEASE-2024
3186,8121b7c1-2cae-422c-99e2-0fa4b9cc179c,D05,LIRO,LIRO.AOS.buoy.c0,2018-09-10T21:40Z,2019-01-05,LIRO.20180910.TOWNET.1,A00000007411,,,DAPPUL1,Y,Daphnia pulex,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.8,2.0,1.37,,6,coarse,320.0,1.0,1920.0,N,condition OK,Y,,Dodson et al 2010,N,EcoAnalysts Inc.,,K. Schnake,,,,20231228T194750Z,RELEASE-2024,f9f5df9a-0928-4400-96ca-4326c65e68ea,D05,LIRO,LIRO.AOS.buoy.c0,45.998322,-89.704766,10.0,10.0,WGS84,502.0,10,lake,2018-09-10T21:40Z,2018-09-10T21:40Z,LIRO.20180910,3,A00000007411,,NEON.DOC.001194vG,,,,tow net,1,1.0,438.0,6.0,,,,radams@battelleecology.org,jbuza@battelleecology.org,,20231228T194750Z,RELEASE-2024
3252,4d42de1a-b350-4f56-85e7-2b4909dc3d04,D05,LIRO,LIRO.AOS.buoy.c1,2019-07-24T16:15Z,2019-10-27,LIRO.20190724.TOWNET.1,A00000077356,,,DAPSP1,Y,Daphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.675,1.175,0.85,,3,coarse,310.0,2.0,492.0,N,condition OK,Y,,Dodson et al 2010,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,,,,20231227T165539Z,RELEASE-2024,2f5474f0-8026-410b-a41b-70f7dad7967a,D05,LIRO,LIRO.AOS.buoy.c1,45.998322,-89.704766,10.0,10.0,WGS84,502.0,10,lake,2019-07-24T16:15Z,2019-07-24T16:15Z,LIRO.20190724,2,A00000077356,,NEON.DOC.001194vH,,,,tow net,1,1.0,584.0,8.0,,,,0000-0001-8705-5714,0000-0003-1075-1249,,20231227T165539Z,RELEASE-2024
3256,4f70f18d-5c4b-4580-a3ad-b4d39ef0ef4f,D05,LIRO,LIRO.AOS.littoral1,2019-07-24T16:15Z,2019-10-27,LIRO.20190724.SCHINDLER.3,A00000077358,,,DAPPUL1,Y,Daphnia pulex,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,1.25,1.25,1.25,,1,coarse,350.0,53.0,7.0,N,condition OK,Y,,Dodson et al 2010,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,,,,20231227T165539Z,RELEASE-2024,f64544ec-35f3-4d86-b409-333459b50d86,D05,LIRO,LIRO.AOS.littoral1,45.995205,-89.706502,1.1,10.0,WGS84,496.5,1,lake,2019-07-24T16:15Z,2019-07-24T16:15Z,LIRO.20190724,2,A00000077358,,NEON.DOC.001194vH,,,,Schindler-Patalas,3,2.0,24.0,0.5,1.1,,,0000-0001-8705-5714,0000-0003-1075-1249,,20231227T165539Z,RELEASE-2024
