uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,referencePhotoID,referencePhotoCode,taxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,superfamily,family,subfamily,genus,specificEpithet,infraspecificEpithet,nauplii,zooMinimumLength,zooMaximumLength,zooMeanLength,zooWidth,individualCount,subsampleType,zooVolumePerBottle,zooSubsampleVolume,adjCountPerBottle,indeterminateSpecies,sampleCondition,distinctTaxon,taxonDatabaseID,taxonDatabaseName,identificationQualifier,identificationReferences,qcChecked,laboratoryName,internalLabName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF,publicationDate,release
ea689e94-5492-40aa-8391-3056f5b44a55,D03,BARC,BARC.AOS.littoral2,2021-07-13T14:56Z,2021-09-22,BARC.20210713.SCHINDLER.1,A00000132741,"",,OSTSP,Y,Ostracoda sp.,"",,Arthropoda,Crustacea,Ostracoda,,"","","","",,,"",,"","",N,0.2,0.2,0.2,,2,coarse,510,77,13,N,condition OK,Y,84195,ITIS,,Thorp and Covich 2001,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,"",,,20231228T000008Z,RELEASE-2024
423ba038-484f-40c7-ab4e-b5b3495ed4a9,D03,BARC,BARC.AOS.littoral1,2021-07-13T14:56Z,2021-09-22,BARC.20210713.SCHINDLER.3,A00000132742,"",,BDESP,Y,Bdelloidea sp.,"",,Rotifera,"",Bdelloidea,,Bdelloidea,"","","",,,"",,"","",N,0.175,0.175,0.175,,1,coarse,550,110,5,N,condition OK,Y,58246,ITIS,,Stemberger 1979,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,"",,,20231228T000008Z,RELEASE-2024
9f14ddd6-b182-4ba2-bda7-75c7e044ce83,D03,BARC,BARC.AOS.littoral2,2021-07-13T14:56Z,2021-09-22,BARC.20210713.SCHINDLER.1,A00000132741,"",,HARSP,Y,Harpacticoida sp.,"",,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Podoplea,Harpacticoida,,,"",,"","",N,0.275,0.275,0.275,,1,coarse,510,77,7,N,condition OK,Y,86110,ITIS,,"Reid and Williams, 2010",N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,"",,,20231228T000008Z,RELEASE-2024
5fd46046-0bed-4f81-8f58-24e6d47f11b6,D03,BARC,BARC.AOS.buoy.c0,2021-07-13T14:56Z,2021-09-22,BARC.20210713.TOWNET.2,A00000132757,"",,OSTSP,Y,Ostracoda sp.,"",,Arthropoda,Crustacea,Ostracoda,,"","","","",,,"",,"","",N,0.45,0.45,0.45,,1,coarse,510,6,80,N,condition OK,Y,84195,ITIS,,Thorp and Covich 2001,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,"",,,20231228T000008Z,RELEASE-2024
d45fad24-99e3-464f-b798-b647da36e667,D03,BARC,BARC.AOS.littoral2,2021-07-13T14:56Z,2021-09-22,BARC.20210713.SCHINDLER.1,A00000132741,"",,COPSP,Y,Copepoda sp.,nauplii,,Arthropoda,Crustacea,Maxillopoda,,Copepoda,"","","",,,"",,"","",Y,0.125,0.25,0.185,,217,coarse,510,77,1447,N,condition OK,Y,,"",,Dodson et al 2010,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,EcoID = Copepoda - nauplii,,,20231228T000008Z,RELEASE-2024
8b9d69b8-3b88-4337-8ec5-8668efc4c7d7,D03,BARC,BARC.AOS.littoral1,2021-07-13T14:56Z,2021-09-22,BARC.20210713.SCHINDLER.3,A00000132742,"",,KERGRA,Y,Keratella gracilenta,"",,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,,,Brachionidae,,"","",N,0.15,0.15,0.15,,18,coarse,550,110,90,N,condition OK,Y,58387,ITIS,,Stemberger 1979,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,"",,,20231228T000008Z,RELEASE-2024
36f1d81f-d669-4992-85af-edc6b6ef88f8,D03,BARC,BARC.AOS.littoral2,2021-07-13T14:56Z,2021-09-22,BARC.20210713.SCHINDLER.1,A00000132741,"",,SKIMIS,Y,Skistodiaptomus mississippiensis,"",,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Gymnoplea,Calanoida,,,Diaptomidae,,"","",N,0.9,0.9,0.9,,2,coarse,510,77,13,N,condition OK,Y,666977,ITIS,,Dodson et al 2010,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,"",,,20231228T000008Z,RELEASE-2024
3862287d-9705-4408-aebc-2536fe093213,D03,BARC,BARC.AOS.buoy.c0,2021-07-13T14:56Z,2021-09-22,BARC.20210713.TOWNET.2,A00000132757,"",,EUBTUB,Y,Eubosmina tubicen,"",,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,"","",Diplostraca,,,Bosminidae,,Neobosmina,"",N,0.3,0.5,0.4,,32,coarse,510,6,2558,N,condition OK,Y,83945,ITIS,,Dodson et al 2010,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,"",,,20231228T000008Z,RELEASE-2024
c3662025-de0c-4e50-a3f3-d2b36d6404cb,D03,BARC,BARC.AOS.littoral1,2021-07-13T14:56Z,2021-09-22,BARC.20210713.SCHINDLER.3,A00000132742,"",,MONSP9,Y,Monommata sp.,"",,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,,,Notommatidae,,"","",N,0.125,0.125,0.125,,1,coarse,550,110,5,N,condition OK,Y,58937,ITIS,,Stemberger 1979,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,"",,,20231228T000008Z,RELEASE-2024
4034b4d1-3602-4ef7-9038-614fb3807cf6,D03,BARC,BARC.AOS.littoral2,2021-07-13T14:56Z,2021-09-22,BARC.20210713.SCHINDLER.1,A00000132741,"",,ACASP1,Y,Acari sp.,"",,Arthropoda,Chelicerata,Arachnida,,Acari,"","","",,,"",,"","",N,0.25,0.25,0.25,,1,coarse,510,77,7,N,condition OK,Y,733321,ITIS,,Thorp and Covich 2001,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,"",,,20231228T000008Z,RELEASE-2024
3290b4f3-0f19-4e31-873a-336e3c014eeb,D03,BARC,BARC.AOS.littoral1,2021-07-13T14:56Z,2021-09-22,BARC.20210713.SCHINDLER.3,A00000132742,"",,MESEDA,Y,Mesocyclops edax,"",,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Podoplea,Cyclopoida,,,Cyclopidae,,"","",N,0.85,0.85,0.85,,1,coarse,550,110,5,N,condition OK,Y,88692,ITIS,,"Reid and Williams, 2010",N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,"",,,20231228T000008Z,RELEASE-2024
4291d83c-b869-415f-b376-684b3ecf5611,D03,BARC,BARC.AOS.littoral2,2021-07-13T14:56Z,2021-09-22,BARC.20210713.SCHINDLER.1,A00000132741,"",,CYCSP,Y,Cyclopoida sp.,copepodites,,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Podoplea,Cyclopoida,,,"",,"","",N,0.225,0.925,0.38,,14,coarse,510,77,93,N,condition OK,Y,,"",,Dodson et al 2010,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,EcoID = Cyclopoida - copepodites,,,20231228T000008Z,RELEASE-2024
f5752820-f144-4b4e-ae4c-3c33f45bf76a,D03,BARC,BARC.AOS.littoral2,2021-07-13T14:56Z,2021-09-22,BARC.20210713.SCHINDLER.1,A00000132741,"",,MESEDA,Y,Mesocyclops edax,"",,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Podoplea,Cyclopoida,,,Cyclopidae,,"","",N,0.75,0.75,0.75,,1,coarse,510,77,7,N,condition OK,Y,88692,ITIS,,"Reid and Williams, 2010",N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,"",,,20231228T000008Z,RELEASE-2024
9e39b293-7a4a-4ce0-a150-f6edfab98a74,D03,BARC,BARC.AOS.littoral1,2021-07-13T14:56Z,2021-09-22,BARC.20210713.SCHINDLER.3,A00000132742,"",,COPSP,Y,Copepoda sp.,nauplii,,Arthropoda,Crustacea,Maxillopoda,,Copepoda,"","","",,,"",,"","",Y,0.125,0.3,0.214,,320,coarse,550,110,1600,N,condition OK,Y,,"",,Dodson et al 2010,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,EcoID = Copepoda - nauplii,,,20231228T000008Z,RELEASE-2024
9e5512e1-a87b-4b0c-aff7-b069319140fd,D03,BARC,BARC.AOS.littoral2,2021-07-13T14:56Z,2021-09-22,BARC.20210713.SCHINDLER.1,A00000132741,"",,MACSP4,Y,Macrothricidae sp.,"",,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,"","",Diplostraca,,,Macrothricidae,,"","",N,0.175,0.175,0.175,,1,coarse,510,77,7,N,condition OK,Y,84116,ITIS,,Dodson et al 2010,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,"",,,20231228T000008Z,RELEASE-2024
56fdcb10-2f1b-4f4b-817a-2776aca3e704,D03,BARC,BARC.AOS.littoral1,2021-07-13T14:56Z,2021-09-22,BARC.20210713.SCHINDLER.3,A00000132742,"",,CYCSP,Y,Cyclopoida sp.,copepodites,,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Podoplea,Cyclopoida,,,"",,"","",N,0.3,0.575,0.484,,8,coarse,550,110,40,N,condition OK,Y,,"",,Dodson et al 2010,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,EcoID = Cyclopoida - copepodites,,,20231228T000008Z,RELEASE-2024
0819424e-743d-4749-850f-d1dd9632b2f9,D03,BARC,BARC.AOS.littoral1,2021-07-13T14:56Z,2021-09-22,BARC.20210713.SCHINDLER.3,A00000132742,"",,CALSP1,Y,Calanoida sp.,copepodites,,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Gymnoplea,Calanoida,,,"",,"","",N,0.3,0.85,0.414,,26,coarse,550,110,130,N,condition OK,Y,,"",,Dodson et al 2010,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,EcoID = Calanoida - copepodites,,,20231228T000008Z,RELEASE-2024
68d1e2a6-b31f-436a-a0eb-9b4e1b51561b,D03,BARC,BARC.AOS.littoral2,2021-07-13T14:56Z,2021-09-22,BARC.20210713.SCHINDLER.1,A00000132741,"",,CONSP8,Y,Conochiloides sp.,"",,Rotifera,"",Monogonta,,Monogononta,"",Gnesiotrocha,Flosculariaceae,,,Conochilidae,,"","",N,0.175,0.175,0.175,0.075,1,coarse,510,77,7,N,condition OK,Y,59412,ITIS,,Stemberger 1979,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,"",,,20231228T000008Z,RELEASE-2024
e84e01c1-3bc7-4f92-85d1-f0452e633766,D03,BARC,BARC.AOS.buoy.c0,2021-11-02T17:42Z,2022-08-05,BARC.20211102.TOWNET.1,A00000132926,"",,POLSP20,Y,Polyarthra sp.,,,Rotifera,,Monogonta,,Monogononta,,,Ploima,,,Synchaetidae,,,,N,0.1,0.1,0.1,0.05,4,fine,530,1,2120,N,condition OK,Y,,,,"Thorp and Rogers, 2016",N,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
7b09afeb-aa3d-41fe-9046-26e994ad63b7,D03,BARC,BARC.AOS.buoy.c0,2021-11-02T17:42Z,2022-08-05,BARC.20211102.TOWNET.1,A00000132926,ARCTODIAPTOMUS_FLORIDANUS_630X_ANT_PROCESS_BA22NEOZ04001,,ARCFLO,Y,Arctodiaptomus floridanus,,,Arthropoda,,Maxillopoda,,Copepoda,,,Calanoida,,,Diaptomidae,,,,N,1.1,1.1,1.1,,1,coarse,530,1,530,N,condition OK,Y,,,,Thorp and Rogers 2016,N,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
fdc3cb7a-0543-4a26-ba36-b39f881cb703,D03,BARC,BARC.AOS.littoral2,2021-11-02T17:42Z,2022-08-08,BARC.20211102.SCHINDLER.3,A00000132951,"",,SYNSP8,Y,Synchaeta sp.,,,Rotifera,,Monogonta,,Monogononta,,,Ploima,,,Synchaetidae,,,,N,0.15,0.15,0.15,0.05,1,fine,285,4,71,N,condition OK,Y,,,,"Stemberger, 1979; Pennak, 1989",Y,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
3e788d54-1366-4b0b-bf6f-449c838bd78d,D03,BARC,BARC.AOS.littoral1,2021-11-02T17:42Z,2022-08-08,BARC.20211102.SCHINDLER.2,A00000132952,"",,CYCSP1,Y,Cyclopidae sp.,,,Arthropoda,,Maxillopoda,,Copepoda,,,Cyclopoida,,,Cyclopidae,,,,N,0.8,0.8,0.8,,19,coarse,383,5,1455,N,other (specified in remarks),Y,,,,"Thorp and Rogers, 2016",N,"Rhithron Associates, Inc.",,B. Moore,immature,,,20231228T002440Z,RELEASE-2024
dde253e3-af9e-467f-bd63-4f5091a4d6f7,D03,BARC,BARC.AOS.littoral1,2021-11-02T17:42Z,2022-08-08,BARC.20211102.SCHINDLER.2,A00000132952,LECANE_MIRA_200X_BA22NEOZ04003,,LECMIR,Y,Lecane mira,,,Rotifera,,Monogonta,,Monogononta,,,Ploima,,,Lecanidae,,,,N,0.1,0.1,0.1,0.05,1,fine,383,5,77,N,condition OK,Y,,,,"Haney, J.F. et al. 'An-Image-based Key to the Zooplankton of North America' version 5.0 released 2013.",N,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
d9888b37-fb98-423d-8ef8-98915ed51c30,D03,BARC,BARC.AOS.buoy.c0,2021-11-02T17:42Z,2022-08-05,BARC.20211102.TOWNET.1,A00000132926,"",,CONSP8,Y,Conochiloides sp.,,,Rotifera,,Monogonta,,Monogononta,,,Flosculariaceae,,,Conochilidae,,,,N,0.1,0.1,0.1,0.08,2,fine,530,1,1060,N,condition OK,Y,,,,"Stemberger, 1979; Pennak, 1989",N,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
ce7f0bb8-1ef5-43ec-994c-71f66c7cb180,D03,BARC,BARC.AOS.littoral1,2021-11-02T17:42Z,2022-08-08,BARC.20211102.SCHINDLER.2,A00000132952,"",,DIASP,Y,Diaptomidae sp.,,,Arthropoda,,Maxillopoda,,Copepoda,,,Calanoida,,,Diaptomidae,,,,N,1,1,1,,47,coarse,383,5,3600,N,other (specified in remarks),N,,,,"Thorp and Rogers, 2016",N,"Rhithron Associates, Inc.",,B. Moore,female/immature,,,20231228T002440Z,RELEASE-2024
a913816a-1914-4f83-9bd4-c63438f2adbb,D03,BARC,BARC.AOS.buoy.c0,2021-11-02T17:42Z,2022-08-05,BARC.20211102.TOWNET.1,A00000132926,"",,HEXSP6,Y,Hexarthra sp.,,,Rotifera,,Monogonta,,Monogononta,,,Flosculariaceae,,,Hexarthridae,,,,N,0.15,0.15,0.15,0.08,8,fine,530,1,4240,N,condition OK,Y,,,,"Thorp and Rogers, 2016",N,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
434fd916-7b8f-49de-ba7e-9e52e52767b0,D03,BARC,BARC.AOS.littoral2,2021-11-02T17:42Z,2022-08-08,BARC.20211102.SCHINDLER.3,A00000132951,"",,CYCSP1,Y,Cyclopidae sp.,,,Arthropoda,,Maxillopoda,,Copepoda,,,Cyclopoida,,,Cyclopidae,,,,N,0.3,0.6,0.45,,7,coarse,285,4,499,N,other (specified in remarks),Y,,,,"Thorp and Rogers, 2016",Y,"Rhithron Associates, Inc.",,B. Moore,immature 2 maybe Microcylops but cant see 5th,,,20231228T002440Z,RELEASE-2024
e4d4fab5-04fa-4bac-9727-ef5f83590818,D03,BARC,BARC.AOS.buoy.c0,2021-11-02T17:42Z,2022-08-05,BARC.20211102.TOWNET.1,A00000132926,BOSMINA_TUBICEN_200X_BA22NEOZ04001,,BOSTUB,Y,Bosmina tubicen,,,Arthropoda,,Branchiopoda,,Phyllopoda,,,Diplostraca,,,Bosminidae,,,,N,0.2,0.3,0.25,,10,coarse,530,1,5300,N,condition OK,Y,,,,Thorp and Rogers 2016,N,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
fdc53860-d684-4c86-9095-e164900f254c,D03,BARC,BARC.AOS.littoral1,2021-11-02T17:42Z,2022-08-08,BARC.20211102.SCHINDLER.2,A00000132952,"",,SKIMIS,Y,Skistodiaptomus mississippiensis,,,Arthropoda,,Maxillopoda,,Copepoda,,,Calanoida,,,Diaptomidae,,,,N,1,1,1,,1,coarse,383,5,77,N,condition OK,Y,,,,Thorp and Rogers 2016,N,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
00e8a96c-169e-4bb6-85e3-24298c0cd119,D03,BARC,BARC.AOS.buoy.c0,2021-11-02T17:42Z,2022-08-05,BARC.20211102.TOWNET.1,A00000132926,MONOSTYLA_LUNARIS_200X_BANEOZ04001,,LECLUN2,Y,Lecane lunaris,,,Rotifera,,Monogonta,,Monogononta,,,Ploima,,,Lecanidae,,,,N,0.08,0.08,0.08,0.05,2,fine,530,1,1060,N,condition OK,Y,,,,"Haney, J.F. et al. 'An-Image-based Key to the Zooplankton of North America' version 5.0 released 2013.",N,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
4564400c-78e0-4d0f-9ebc-35910600d41f,D03,BARC,BARC.AOS.buoy.c0,2021-11-02T17:42Z,2022-08-05,BARC.20211102.TOWNET.1,A00000132926,"",,POMSP5,Y,Pompholyx sp.,,,Rotifera,,Monogonta,,Monogononta,,,Flosculariaceae,,,Testudinellidae,,,,N,0.08,0.08,0.08,0.07,1,fine,530,1,530,N,condition OK,Y,,,,"Thorp and Rogers, 2016",N,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
5ee56f09-da0c-4c8e-983c-07375e795533,D03,BARC,BARC.AOS.buoy.c0,2021-11-02T17:42Z,2022-08-05,BARC.20211102.TOWNET.1,A00000132926,"",,DIASP,Y,Diaptomidae sp.,,,Arthropoda,,Maxillopoda,,Copepoda,,,Calanoida,,,Diaptomidae,,,,N,0.6,1.2,0.9,,113,coarse,530,1,59890,N,other (specified in remarks),N,,,,"Thorp and Rogers, 2016",N,"Rhithron Associates, Inc.",,B. Moore,female/immature,,,20231228T002440Z,RELEASE-2024
14a94530-f860-4b7f-814d-a047f90eb27b,D03,BARC,BARC.AOS.littoral1,2021-11-02T17:42Z,2022-08-08,BARC.20211102.SCHINDLER.2,A00000132952,"",,KERAME,Y,Keratella americana,,,Rotifera,,Monogonta,,Monogononta,,,Ploima,,,Brachionidae,,,,N,0.1,0.1,0.1,0.05,64,fine,383,5,4902,N,condition OK,Y,,,,"Haney, J.F. et al. 'An-Image-based Key to the Zooplankton of North America' version 5.0 released 2013.",N,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
693cda8a-8c46-4b2b-b6ec-b044a019693c,D03,BARC,BARC.AOS.littoral1,2021-11-02T17:42Z,2022-08-08,BARC.20211102.SCHINDLER.2,A00000132952,"",,ARCFLO,Y,Arctodiaptomus floridanus,,,Arthropoda,,Maxillopoda,,Copepoda,,,Calanoida,,,Diaptomidae,,,,N,1.1,1.1,1.1,,3,coarse,383,5,230,N,condition OK,Y,,,,Thorp and Rogers 2016,N,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
ae743ac3-8e86-45fb-9594-2d97929a26ce,D03,BARC,BARC.AOS.buoy.c0,2021-11-02T17:42Z,2022-08-05,BARC.20211102.TOWNET.1,A00000132926,GASTROPUS_STYLIFER_200X_BA22NEOZ04001,,GASSTY,Y,Gastropus stylifer,,,Rotifera,,Monogonta,,Monogononta,,,Ploima,,,Gastropodidae,,,,N,0.1,0.2,0.15,0.13,3,fine,530,1,1590,N,condition OK,Y,,,,Thorp and Rogers 2016,N,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
b0f0e452-8971-4164-88d6-3f3086dcc80b,D03,BARC,BARC.AOS.buoy.c0,2021-11-02T17:42Z,2022-08-05,BARC.20211102.TOWNET.1,A00000132926,"",,KERTAU,Y,Keratella taurocephala,,,Rotifera,,Monogonta,,Monogononta,,,Ploima,,,Brachionidae,,,,N,0.2,0.2,0.2,0.08,2,fine,530,1,1060,N,condition OK,Y,,,,"Haney, J.F. et al.",N,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
5a061fc3-c57e-4d23-bfab-9cab83312ab6,D03,BARC,BARC.AOS.buoy.c0,2021-11-02T17:42Z,2022-08-05,BARC.20211102.TOWNET.1,A00000132926,"",,CYCSP1,Y,Cyclopidae sp.,,,Arthropoda,,Maxillopoda,,Copepoda,,,Cyclopoida,,,Cyclopidae,,,,N,0.5,1,0.733,,13,coarse,530,1,6890,N,other (specified in remarks),Y,,,,"Thorp and Rogers, 2016",N,"Rhithron Associates, Inc.",,B. Moore,immature,,,20231228T002440Z,RELEASE-2024
75700000-d81c-4072-9469-1f2c2404ffea,D03,BARC,BARC.AOS.littoral2,2021-11-02T17:42Z,2022-08-08,BARC.20211102.SCHINDLER.3,A00000132951,"",,CLASP,Y,Cladocera sp.,,,Arthropoda,,Branchiopoda,,Phyllopoda,,,Diplostraca,,,"",,,,N,0.08,0.2,0.14,,2,coarse,285,4,143,N,other (specified in remarks),Y,,,,"Thorp and Rogers, 2016",Y,"Rhithron Associates, Inc.",,B. Moore,immature,,,20231228T002440Z,RELEASE-2024
7af8806d-3e47-44c6-b408-9daf005767ea,D03,BARC,BARC.AOS.buoy.c0,2021-11-02T17:42Z,2022-08-05,BARC.20211102.TOWNET.1,A00000132926,KERATELLA_AMERICANA_200X_BA22NEOZ04001,,KERAME,Y,Keratella americana,,,Rotifera,,Monogonta,,Monogononta,,,Ploima,,,Brachionidae,,,,N,0.15,0.2,0.175,0.065,7,fine,530,1,3710,N,other (specified in remarks),Y,,,,"Haney, J.F. et al. 'An-Image-based Key to the Zooplankton of North America' version 5.0 released 2013.",N,"Rhithron Associates, Inc.",,B. Moore,"americana, gracilenta syn of americana",,,20231228T002440Z,RELEASE-2024
149f68fb-c211-4e1d-9f6e-ebb1d91e98f4,D03,BARC,BARC.AOS.buoy.c0,2021-11-02T17:42Z,2022-08-05,BARC.20211102.TOWNET.1,A00000132926,"",,COPSP,Y,Copepoda sp.,,,Arthropoda,,Maxillopoda,,Copepoda,,,"",,,"",,,,Y,0.15,1,0.467,,68,coarse,530,1,36040,N,condition OK,N,,,,"Thorp and Rogers, 2016",N,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
9acfbaab-f2f5-4739-9e02-3789a5c988b3,D03,BARC,BARC.AOS.littoral1,2021-11-02T17:42Z,2022-08-08,BARC.20211102.SCHINDLER.2,A00000132952,"",,TRISP31,Y,Trichocerca sp.,,,Rotifera,,Monogonta,,Monogononta,,,Ploima,,,Trichocercidae,,,,N,0.15,0.15,0.15,0.05,1,fine,383,5,77,N,other (specified in remarks),Y,,,,"Haney, J.F. et al.",N,"Rhithron Associates, Inc.",,B. Moore,poor aspect,,,20231228T002440Z,RELEASE-2024
42ec62d7-7a15-4652-95a5-9dbea1c56e7f,D03,BARC,BARC.AOS.littoral2,2021-11-02T17:42Z,2022-08-08,BARC.20211102.SCHINDLER.3,A00000132951,"",,COPSP,Y,Copepoda sp.,,,Arthropoda,,Maxillopoda,,Copepoda,,,"",,,"",,,,Y,0.1,0.2,0.15,,321,coarse,285,4,22871,N,condition OK,N,,,,"Thorp and Rogers, 2016",Y,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
b4263b8d-f007-403e-899f-448ff7249c8c,D03,BARC,BARC.AOS.buoy.c0,2021-11-02T17:42Z,2022-08-05,BARC.20211102.TOWNET.1,A00000132926,SKISTODIAPTOMUS_MISSISSIPPIENSIS_200X_BA22NEOZ04001,,SKIMIS,Y,Skistodiaptomus mississippiensis,,,Arthropoda,,Maxillopoda,,Copepoda,,,Calanoida,,,Diaptomidae,,,,N,1.2,1.2,1.2,,3,coarse,530,1,1590,N,condition OK,Y,,,,Thorp and Rogers 2016,N,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
5803667f-7fce-4550-bd25-d3e46b6c55e6,D03,BARC,BARC.AOS.buoy.c0,2021-11-02T17:42Z,2022-08-05,BARC.20211102.TOWNET.1,A00000132926,PLATIONUS_PATULUS_200X_BA22NEOZ04001,,PLAPAT2,Y,Plationus patulus,,,Rotifera,,Monogonta,,Monogononta,,,Ploima,,,Brachionidae,,,,N,0.12,0.12,0.12,0.12,1,fine,530,1,530,N,condition OK,Y,,,,"Haney, J.F. et al. 'An-Image-based Key to the Zooplankton of North America' version 5.0 released 2013.",N,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
e7366653-06a4-48c7-b09e-90b3b8aea888,D03,BARC,BARC.AOS.littoral2,2021-11-02T17:42Z,2022-08-08,BARC.20211102.SCHINDLER.3,A00000132951,"",,KERAME,Y,Keratella americana,,,Rotifera,,Monogonta,,Monogononta,,,Ploima,,,Brachionidae,,,,N,0.1,0.1,0.1,0.04,35,fine,285,4,2494,N,condition OK,Y,,,,"Haney, J.F. et al. 'An-Image-based Key to the Zooplankton of North America' version 5.0 released 2013.",Y,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
b2c81490-9d7d-4a07-b081-32cca405a758,D03,BARC,BARC.AOS.buoy.c0,2021-11-02T17:42Z,2022-08-05,BARC.20211102.TOWNET.1,A00000132926,"",,SYNSP8,Y,Synchaeta sp.,,,Rotifera,,Monogonta,,Monogononta,,,Ploima,,,Synchaetidae,,,,N,0.1,0.1,0.1,0.08,3,fine,530,1,1590,N,condition OK,Y,,,,"Stemberger, 1979; Pennak, 1989",N,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
b49e3551-dfce-4cbe-b60f-31704a94003c,D03,BARC,BARC.AOS.littoral1,2021-11-02T17:42Z,2022-08-08,BARC.20211102.SCHINDLER.2,A00000132952,"",,COPSP,Y,Copepoda sp.,,,Arthropoda,,Maxillopoda,,Copepoda,,,"",,,"",,,,Y,0.1,0.2,0.15,,138,coarse,383,5,10571,N,condition OK,N,,,,"Thorp and Rogers, 2016",N,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
a29ef7b2-1e08-4d67-bc8d-7d528cca6518,D03,BARC,BARC.AOS.littoral1,2021-11-02T17:42Z,2022-08-08,BARC.20211102.SCHINDLER.2,A00000132952,"",,BOSSP,Y,Bosminidae sp.,,,Arthropoda,,Branchiopoda,,Phyllopoda,,,Diplostraca,,,Bosminidae,,,,N,0.3,0.3,0.3,,29,coarse,383,5,2221,N,other (specified in remarks),Y,,,,"Thorp and Rogers, 2016",N,"Rhithron Associates, Inc.",,B. Moore,immature,,,20231228T002440Z,RELEASE-2024
4a4f8eb7-d98a-478a-9dc3-9c64b2b3b61a,D03,BARC,BARC.AOS.littoral2,2021-11-02T17:42Z,2022-08-08,BARC.20211102.SCHINDLER.3,A00000132951,"",,POLSP20,Y,Polyarthra sp.,,,Rotifera,,Monogonta,,Monogononta,,,Ploima,,,Synchaetidae,,,,N,0.15,0.15,0.15,0.08,1,fine,285,4,71,N,condition OK,Y,,,,"Thorp and Rogers, 2016",Y,"Rhithron Associates, Inc.",,B. Moore,"",,,20231228T002440Z,RELEASE-2024
